ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),GDI Group (2021),Gender Development Index (2021),HDI female (2021),"Life Expectancy at Birth, female (2021)","Expected Years of Schooling, female (2021)","Mean Years of Schooling, female (2021)","Gross National Income Per Capita, female (2021)",HDI male (2021),"Life Expectancy at Birth, male (2021)","Expected Years of Schooling, male (2021)","Mean Years of Schooling, male (2021)","Gross National Income Per Capita, male (2021)",Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2021),Overall loss (%) (2021),Inequality in life expectancy (2021),Inequality in eduation (2021),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)","Labour force participation rate, female (% ages 15 and older) (2021)","Labour force participation rate, male (% ages 15 and older) (2021)",Difference from HDI rank (2021),Planetary pressures-adjusted Human Development Index (2021),Difference from HDI value (%) (2021),Carbon dioxide emissions per capita (production) (tonnes) (2021),Material footprint per capita (tonnes) (2021)
JAM,Jamaica,High,LAC,110,0.709,70.5003,13.40492042,9.154628661,8834.47567,1,0.99,0.703788217,72.543,13.72101442,9.744774949,6982.251341,0.710547842,68.469,13.08882643,8.530893495,10715.46988,0.591,15.73566602,16.64315938,8.725048065,6.51579,31.96616,80,0.335,80,32.764,56.095,70.003,14,0.663,6.488011283,2.508977035,9.95
JOR,Jordan,High,AS,102,0.72,74.2563,10.64655972,10.44668007,9923.714974,5,0.887,0.663218429,76.7726,10.84105015,10.07157993,3778.064874,0.747658804,72.1277,10.45506954,10.8373003,15631.27965,0.617,14.20510318,14.30555556,9.261599541,15.44186,17.91185,118,0.471,46,25.369,13.469,62.322,20,0.683,5.138888889,2.497997184,7.03
JPN,Japan,Very High,,19,0.925,84.7839,15.22162588,13.36610034,42274.29134,2,0.97,0.907973256,87.7313,15.19815139,13.30556444,30620.80675,0.936097221,81.8018,15.2438166,13.42565598,54596.84435,0.85,7.894689109,8.108108108,2.510178328,4.511,16.662889,22,0.083,5,2.903,53.3,71.031,8,0.792,14.37837838,8.149938667,18.18
KAZ,Kazakhstan,Very High,ECA,56,0.811,69.3622,15.76500034,12.34756189,23942.81837,1,0.998,0.808860452,73.0814,16.04249954,12.37770421,18976.34734,0.810586606,65.4761,15.49851036,12.31332986,29305.12694,0.755,6.925083065,6.905055487,7.268719196,3.16666,10.33987,41,0.161,10,21.877,63.27,75.518,-52,0.59,27.25030826,15.51581435,34.41
KEN,Kenya,Medium,SSA,152,0.575,61.427,10.69855835,6.652,4473.570344,3,0.941,0.557213852,64.0899,10.34585953,6.064,3873.191056,0.592213974,58.9354,11.05279836,7.26,5084.167477,0.426,25.6850841,25.91304348,21.01152229,22.89552,33.14821,128,0.506,342,64.185,70.984,75.564,7,0.561,2.434782609,0.300273588,4.62
KGZ,Kyrgyzstan,Medium,ECA,118,0.692,69.9774,13.1953001,11.37410556,4566.303831,2,0.966,0.674734308,74.3515,13.43486977,11.6026467,2863.191224,0.698277778,65.8,12.96424961,11.13378012,6331.487189,0.627,9.226713037,9.393063584,10.48529911,3.36425,13.83059,87,0.37,60,34.697,42.141,71.67,18,0.658,4.913294798,1.763865121,7.82
KHM,Cambodia,Medium,EAP,146,0.593,69.5835,11.46772,5.088,4078.697154,3,0.926,0.569886597,72.2907,11.00490454,4.366,3463.508562,0.615205049,66.8186,11.93053546,5.882,4706.237922,0.479,19.00450602,19.22428331,15.36655807,27.30485,14.34211,116,0.461,160,45.453,73.96,85.918,5,0.573,3.372681282,0.916659614,5.7
KIR,Kiribati,Medium,EAP,136,0.624,67.4172,11.801993,7.984461822,4062.586034,,,,69.0959,12.426346,,,,65.504,11.252668,,,0.516,17.15409705,17.30769231,22.46889114,9.63653,19.35687,,,92,40.477,,,,,,0.56992524,
KNA,Saint Kitts and Nevis,High,LAC,75,0.777,71.6822,15.42769157,8.662745,23358.33212,,,,75.3413,15.99400249,,,,68.3456,14.9184988,,,,,,7.958518505,,,,,,38.154,,,,,,3.985789207,
KOR,South Korea,Very High,,19,0.925,83.6978,16.52173996,12.51293027,44500.93187,3,0.944,0.893687774,86.7603,16.06004906,11.86020016,29299.89347,0.9471206,80.3864,16.92740059,13.17625373,59737.33704,0.838,9.264535208,9.405405405,2.827563286,8.836042338,16.13,15,0.067,11,2.211,53.391,72.448,-4,0.752,18.7027027,11.65622391,22.01
