ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),GDI Group (2021),Gender Development Index (2021),HDI female (2021),"Life Expectancy at Birth, female (2021)","Expected Years of Schooling, female (2021)","Mean Years of Schooling, female (2021)","Gross National Income Per Capita, female (2021)",HDI male (2021),"Life Expectancy at Birth, male (2021)","Expected Years of Schooling, male (2021)","Mean Years of Schooling, male (2021)","Gross National Income Per Capita, male (2021)",Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2021),Overall loss (%) (2021),Inequality in life expectancy (2021),Inequality in eduation (2021),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)","Labour force participation rate, female (% ages 15 and older) (2021)","Labour force participation rate, male (% ages 15 and older) (2021)",Difference from HDI rank (2021),Planetary pressures-adjusted Human Development Index (2021),Difference from HDI value (%) (2021),Carbon dioxide emissions per capita (production) (tonnes) (2021),Material footprint per capita (tonnes) (2021)
POL,Poland,Very High,,34,0.876,76.4572,16.0271492,13.1647501,33033.96081,1,1.008,0.878323947,80.3888,16.7696991,13.34002972,25260.74044,0.871513813,72.6255,15.31564045,12.96819973,41335.50045,0.816,6.831017673,6.849315068,3.926383018,4.45925,12.10742,31,0.109,2,9.653,49.2,65.489,12,0.753,14.04109589,7.9159743,17.85
PRT,Portugal,Very High,,38,0.866,81.0443,16.87122917,9.575940132,33154.53343,1,0.994,0.862546452,84.0791,16.9929409,9.607560158,28713.43697,0.867492871,77.8468,16.74909019,9.538669586,38126.79503,0.773,10.56989309,10.73903002,3.195029259,13.05276,15.46189,15,0.067,8,7.444,53.975,62.208,27,0.792,8.545034642,3.960866197,12.25
PRY,Paraguay,High,LAC,105,0.717,70.2617,12.98799113,8.861840248,12349.286,1,0.99,0.712812675,73.3847,13.63530124,8.856229782,9410.455309,0.719878431,67.4336,12.37616125,8.867710114,15264.77208,0.582,18.32046414,18.82845188,11.36716843,13.15316,30.441064,111,0.445,84,70.347,59.636,84.214,5,0.648,9.623430962,1.061291226,18.93
PSE,"Palestine, State of",High,AS,106,0.715,73.4727,13.35801029,9.938480377,6582.899416,5,0.891,0.655009064,75.9386,14.26461983,9.916460037,2250.067556,0.734872627,71.0939,12.48151016,9.960129738,10936.95694,0.584,17.62148711,18.32167832,10.249897,10.97456434,31.64,,,27,43.469,16.667,66.286,,,,0.568234611,
QAT,Qatar,Very High,AS,42,0.855,79.2716,12.63722038,9.99601145,87134.13469,1,1.019,0.865842414,80.9374,14.53326988,11.61881592,42100.84743,0.849982592,78.3139,12.09377956,9.61258181,104066.1641,,,,3.872181892,11.22725944,,54,0.22,9,7.069,57.215,95.456,-96,0.491,42.57309942,37.01945087,33.72
ROU,Romania,Very High,,53,0.821,74.1847,14.22990036,11.27511978,30027.29131,1,0.994,0.818929278,77.8898,14.7216301,10.98981953,24554.47673,0.823464389,70.6364,13.77198982,11.58393002,35874.0976,0.733,10.40918618,10.71863581,4.896038532,5.43438,20.89714,67,0.282,19,36.376,42.795,62.34,15,0.738,10.10962241,3.715362722,16.04
RUS,Russian Federation,Very High,,52,0.822,69.419,15.76636982,12.77428805,27166.30891,1,1.016,0.828474835,74.7727,15.97797966,12.75277374,21857.33246,0.81516103,64.2085,15.56381035,12.80649889,33288.05988,0.751,8.408886355,8.637469586,5.545659065,2.036,17.645,50,0.203,17,14.988,54.489,69.717,7,0.721,12.28710462,10.8071526,9.49
RWA,Rwanda,Low,SSA,165,0.534,66.0722,11.23097038,4.425292358,2209.795202,2,0.954,0.521187466,68.1639,11.22247028,4.031224613,1989.560286,0.546603488,63.798,11.24172974,4.88597295,2439.981166,0.402,24.64764153,24.71910112,19.39137459,27.35907,27.19248,93,0.388,248,32.444,82.501,82.226,8,0.529,0.936329588,0.079731518,2
SAU,Saudi Arabia,Very High,AS,35,0.875,76.936,16.13549042,11.31052971,46111.55135,4,0.917,0.825883187,78.7714,16.20259094,10.73622036,20677.9756,0.900720984,75.5902,16.10305977,11.67045021,64708.42385,,,,5.103935719,18.11940114,,59,0.247,17,11.937,30.937,80.146,-57,0.638,27.08571429,17.96720336,30.03
SDN,Sudan,Low,AS,172,0.508,65.2667,7.945187858,3.82,3575.19084,5,0.87,0.465659505,67.8786,7.74519446,3.422,1832.770327,0.535025904,62.7408,8.144053506,4.21,5319.731725,0.336,33.47931716,33.85826772,24.98774147,42.45021,33,141,0.553,295,79.908,28.653,67.819,-1,0.48,5.511811024,0.430091637,11.25
SEN,Senegal,Low,SSA,170,0.511,67.0926,8.963749886,2.937938258,3344.311825,5,0.874,0.474670177,69.2838,9.478469849,1.568656105,2258.033972,0.542992333,64.7525,8.462510109,4.459484359,4467.589513,0.354,29.54915667,30.72407045,18.12817001,47.1353,23.384,131,0.53,315,66.454,33.51,56.729,3,0.499,2.348336595,0.624178545,4.09
SGP,Singapore,Very High,EAP,12,0.939,82.7545,16.5243206,11.92488003,90918.64471,1,0.992,0.935256237,84.9268,16.71208,11.62705994,75093.99386,0.943210266,80.6357,16.39477921,12.2547102,105348.3283,0.817,12.40971664,12.99254526,2.261428118,10.00732115,24.96040064,7,0.04,8,2.623,59.406,76.828,-61,0.665,29.1799787,7.777989731,50.43
SLB,Solomon Islands,Medium,EAP,155,0.564,70.3477,10.32869027,5.711848,2481.511362,,,,71.9594,10.79809865,,2172.534897,,68.931,9.93096504,,2777.232927,,,,12.07949352,,,,,104,60.251,83.057,87.398,,,,0.434978832,
SLE,Sierra Leone,Low,SSA,181,0.477,60.0624,9.57339109,4.576081285,1621.512579,5,0.893,0.451696771,61.3543,9.555960911,3.477212173,1453.292817,0.505719508,58.7582,9.857761045,5.815924164,1789.052897,0.309,34.15862986,35.22012579,35.11730957,47.50289,19.85569,162,0.633,1120,100.905,56.086,55.925,3,0.472,1.048218029,0.109965133,2.12
SLV,El Salvador,Medium,LAC,125,0.675,70.7479,12.67134767,7.150929928,8295.665889,2,0.964,0.660206921,75.1492,12.70825432,6.769279957,5823.671402,0.684866967,66.0775,12.6377241,7.624269962,11014.9538,0.548,18.60811171,18.81481481,9.549283028,23.7938081,22.481244,88,0.376,46,55.89,43.579,72.57,24,0.652,3.407407407,0.944111387,5.87
SMR,San Marino,Very High,,44,0.853,80.8786,12.26613998,10.80146027,52653.82534,,,,83.495,11.75339031,10.89807987,,,78.3621,12.81585979,10.69499016,,,,,2.832036257,5.562256324,,,,,3.751,,,,,,,
SRB,Serbia,Very High,ECA,63,0.802,74.1923,14.40009022,11.36987019,19123.02747,1,0.982,0.794081584,77.1779,14.97856998,11.01638985,15306.10357,0.808468225,71.2212,13.85284996,11.75636005,23270.16706,0.72,9.933117503,10.2244389,4.10859251,7.19484,18.49592,36,0.131,12,14.897,46.618,62.272,11,0.715,10.8478803,4.936885477,15.65
SSD,South Sudan,Low,SSA,191,0.385,54.9752,5.54251,5.726140022,767.787,5,0.843,0.348198975,56.4723,4.45054,4.762169838,664.4237678,0.413258564,53.4286,6.61495,6.189479828,873.2309367,0.245,36.25986686,36.36363636,36.97409058,39.55255,32.25296,150,0.587,1150,99.199,70.44,73.574,1,0.376,2.337662338,0.105344736,4.78
STP,Sao Tome and Principe,Medium,SSA,138,0.618,67.5912,13.36538506,6.215599435,4021.350815,4,0.907,0.583599404,70.4194,13.46457672,5.595629228,2414.879056,0.643189149,65.1607,13.27850437,6.810886842,5634.988557,0.503,18.42481067,18.60841424,10.36841202,18.69702,26.209,124,0.494,130,79.418,37.137,69.876,,,,0.514421037,
SUR,Suriname,High,LAC,99,0.73,70.2743,13.03564357,9.77680063,12672.20033,1,1.001,0.727709999,73.5513,14.19690286,9.897562169,8865.601713,0.727228714,67.2067,11.92232229,9.625531504,16506.35247,0.532,25.34968467,27.12328767,10.98505402,18.36769,46.69631,105,0.427,120,56.137,43.449,65.065,,,,3.791474042,
SVK,Slovakia,Very High,,45,0.848,74.9101,14.51303959,12.91141987,30690.48552,1,0.999,0.846502357,78.4307,15.01887989,12.86800003,24848.66797,0.847723638,71.4948,14.03100014,12.95855999,36813.10019,0.803,5.168764951,5.306603774,4.692834854,1.74792,9.06554,45,0.18,5,26.307,54.743,66.415,8,0.738,12.97169811,5.628647446,19.14
SVN,Slovenia,Very High,,23,0.918,80.6904,17.65492058,12.80368042,39746.01987,1,0.999,0.915401467,83.8366,18.41757965,12.83347034,33037.52848,0.916243227,77.6469,16.93939018,12.77305984,46385.63912,0.878,4.371241934,4.357298475,2.748835802,2.05965,8.30524,18,0.071,7,4.478,53.763,62.188,8,0.769,16.23093682,6.042989257,25.38
SWE,Sweden,Very High,,7,0.947,82.9833,19.41852951,12.60972023,54489.37401,1,0.988,0.940969463,84.9097,20.53377914,12.76821041,49580.10983,0.952156756,81.0775,18.3472805,12.44828987,59326.07625,0.885,6.416554863,6.546990496,2.610124588,3.8679,12.77164,4,0.023,4,3.345,61.651,68.009,1,0.803,15.20591341,3.825506114,26.72
SWZ,Eswatini,Medium,SSA,144,0.597,57.0657,13.74434586,5.596,7678.591873,1,0.986,0.592739587,61.2485,13.23686462,5.662,6383.507819,0.601355621,53.366,14.24137883,5.53,8992.516919,0.424,28.60195229,28.97822446,23.79930687,24.10655,37.9,138,0.54,437,69.934,45.622,53.606,,,,0.823831803,
SYC,Seychelles,High,SSA,72,0.785,71.2945,13.94161034,10.28312,25830.61775,,,,75.6503,15.11960983,10.21333,,,67.7429,12.86174011,10.36414,,0.661,15.14949785,15.79617834,9.446657181,6.65648,29.34535638,,,53,53.444,,,,,,4.993238228,
SYR,Syrian Arab Republic,Medium,AS,150,0.577,72.0627,9.164219856,5.1,4191.933893,5,0.825,0.502700292,75.1752,9.074879646,4.6297,1285.232873,0.609549665,69.0583,9.249540329,5.6,7088.319399,,,,12.98532009,,,119,0.477,31,38.72,15.715,70.767,7,0.565,2.079722704,1.744614402,1.91
TCD,Chad,Low,SSA,190,0.394,52.5254,8.035914334,2.57377421,1364.169417,5,0.77,0.339311717,54.2828,6.611644138,1.489173708,965.1510779,0.440888916,50.8449,9.464517316,3.681625264,1760.0728,0.251,35.99797978,36.29441624,38.55884933,42.9329,26.50219,165,0.652,1140,138.306,46.914,69.927,1,0.379,3.807106599,0.055540457,8.26
TGO,Togo,Low,SSA,162,0.539,61.6194,12.95049378,5.016807367,2166.619062,5,0.849,0.497381322,62.3913,12.19214922,3.400858516,1884.54823,0.586086092,60.8495,14.30900219,6.828586144,2445.721556,0.372,30.7737213,30.98330241,27.74024391,37.72766,26.85326,149,0.58,396,77.88,55.488,59.369,4,0.528,2.040816327,0.264726786,4.14
THA,Thailand,Very High,EAP,66,0.8,78.7154,15.88221913,8.697119713,17030.15352,1,1.012,0.80539431,83.0408,16.24098024,8.56564045,15457.0841,0.795766338,74.518,15.56719155,8.838259697,18694.23633,0.686,14.16798364,14.25,6.868660927,16.84539,18.7899,79,0.333,37,32.744,58.992,75.027,24,0.735,8.125,3.692920935,11.75
TJK,Tajikistan,Medium,ECA,122,0.685,71.5942,11.65303618,11.3333938,4547.742427,4,0.909,0.647971594,73.7339,11.17689865,10.88014417,2980.088091,0.712813626,69.5682,12.10252231,11.76179455,6095.515037,0.599,12.34022282,12.55474453,16.51501846,6.03825,14.4674,68,0.285,17,45.427,30.21,50.534,24,0.662,3.357664234,0.990569475,5.75
TKM,Turkmenistan,High,ECA,91,0.745,69.2644,13.21039963,11.26139,13020.7155,2,0.956,0.725895847,72.663,12.99555016,10.92442,9227.499136,0.759567182,65.8652,13.4203701,11.62147,16884.43719,0.619,16.37204107,16.91275168,19.9665432,2.94467,26.20491,43,0.177,7,21.769,36.54,55.59,-20,0.632,15.16778523,12.49132843,13.13
TLS,Timor-Leste,Medium,EAP,140,0.607,67.7369,12.616098,5.43679,4460.869435,4,0.917,0.580299039,69.5445,12.20868199,4.74176,3641.650885,0.633048484,66.0999,13.02351401,6.161881,5248.15712,0.44,26.24257376,27.51235585,20.22848129,44.91179,13.58745,89,0.378,142,33.877,60.987,72.24,,,,0.398727289,
TON,Tonga,High,EAP,91,0.745,70.9857,16.04857063,11.392594,6822.03125,2,0.965,0.728001834,73.719,16.30469398,11.47622061,4842.026992,0.754353802,68.4164,15.65363352,11.23541736,8845.003974,0.666,10.43202966,10.60402685,8.745738983,4.30943,18.24092,160,0.631,52,18.965,37.292,55.263,,,,1.359761578,
TTO,Trinidad and Tobago,Very High,LAC,57,0.81,72.9709,14.53545292,11.61062419,23392.02084,1,0.985,0.801419799,76.4032,14.8003024,11.72598705,16793.87355,0.813863715,69.6616,14.24290289,11.49873111,30166.20298,,,,10.87518406,,,81,0.344,67,38.132,46.651,67.961,,,,25.37313646,
TUN,Tunisia,High,AS,97,0.731,73.7719,15.42538224,7.431598614,10257.54477,3,0.931,0.69683006,77.1448,16.45976207,6.855294122,4869.597753,0.748367539,70.7428,14.45251965,8.034592614,15777.90515,0.588,19.18297336,19.5622435,9.956520081,30.70285,16.88955,61,0.259,43,6.685,25.493,67.15,21,0.687,6.019151847,2.379863502,9.17
TUR,Turkey,Very High,ECA,48,0.838,76.0324,18.3382206,8.63313961,31032.80106,3,0.937,0.806205301,79.1213,17.85655022,7.87033987,19079.35047,0.860285269,73.0397,18.81937981,9.411600113,42928.78948,0.717,14.195661,14.43914081,5.864824295,13.64287582,23.07928288,65,0.272,17,16.884,31.843,69.407,14,0.741,11.575179,4.657320907,17.49
TUV,Tuvalu,Medium,EAP,130,0.641,64.5466,9.40443,10.57310772,6351.435899,,,,69.1378,9.46434,10.3877,,,60.8155,9.34623,10.7575,,0.541,15.49879814,15.60062402,14.37229443,9.17696,22.94714,,,,33.085,,,,,,0.641460312,
TZA,Tanzania,Low,SSA,160,0.549,66.2007,9.221489906,6.37289871,2664.329096,3,0.943,0.53248359,68.3107,9.296609879,5.923837807,2246.736181,0.564766693,64.1827,9.149600029,6.892428824,3091.93102,0.418,23.69202603,23.86156648,21.7159481,26.96013,22.4,146,0.56,524,123.652,79.528,87.098,8,0.544,0.910746812,0.183121172,1.58
UGA,Uganda,Low,SSA,166,0.525,62.7048,10.14986994,5.730941566,2181.43651,3,0.927,0.504881399,64.9197,10.15034489,4.896921296,1877.430317,0.544620452,60.4228,10.11118149,6.683393581,2491.502595,0.396,24.41962152,24.57142857,20.4040966,27.91438,24.94038796,131,0.53,375,107.938,64.172,71.306,5,0.52,0.952380952,0.106954357,1.92
UKR,Ukraine,High,ECA,77,0.773,71.624,14.95656854,11.13142043,13255.50977,1,1.012,0.775709542,76.7002,14.99265633,11.45783104,10369.86856,0.766191935,66.5312,14.93059899,10.72236653,16604.74201,0.726,5.967098327,6.080206986,5.777312279,3.59926,8.524722702,49,0.2,19,15.642,48.098,63.567,11,0.703,9.055627426,4.891161661,11.91
URY,Uruguay,Very High,LAC,58,0.809,75.4356,16.83259964,8.982549667,21268.88122,1,1.022,0.812179016,79.2583,17.32807722,9.251560211,17125.29225,0.79450292,71.6545,15.44421384,8.6769104,25680.32918,0.71,11.83641913,12.23733004,5.416339397,6.54951,23.543408,58,0.235,17,36.226,54.778,69.25,15,0.733,9.394313968,1.681218748,17.49
USA,United States,Very High,,21,0.921,77.1982,16.28097916,13.68342972,64765.21509,1,1.001,0.919688967,80.238,16.93508911,13.73783016,51538.95551,0.919186122,74.2999,15.64476967,13.62497997,78238.21408,0.819,10.63809158,11.07491857,5.946424961,2.745849765,23.222,44,0.179,19,15.966,55.227,66.437,-36,0.698,24.21281216,14.23786361,29.65
UZB,Uzbekistan,High,ECA,101,0.727,70.8616,12.47714043,11.89558983,7916.785725,3,0.944,0.702783954,73.3899,12.37631989,11.73186016,5427.358367,0.744266009,68.3335,12.57161999,12.06482983,10402.95193,,,,8.517651558,0.550110115,,56,0.227,29,15.859,44.898,70.916,25,0.688,5.364511692,3.369793419,6.12
VCT,Saint Vincent and the Grenadines,High,LAC,89,0.751,69.6291,14.67220567,10.83343029,11961.08792,2,0.97,0.73874214,72.3958,14.90442804,10.92370987,8720.223778,0.761469,67.354,14.45880707,10.74547958,15074.89757,,,,9.120908737,9.166052393,,94,0.39,68,47.871,52.913,74.1,,,,1.882819542,
VEN,Venezuela,Medium,LAC,120,0.691,70.5536,12.81608,11.10727736,4810.882621,1,0.983,0.679218478,75.2072,13.81196,11.36222007,2865.793869,0.690932232,66.2592,11.8202,10.84877,6795.863793,0.592,14.16183998,14.32706223,12.81492996,8.67058997,21,123,0.492,125,82.715,34.348,67.813,9,0.645,6.657018813,2.975442345,9.6
VNM,Viet Nam,High,EAP,115,0.703,73.6181,12.9519325,8.370280266,7867.371345,1,1.002,0.703772487,78.2349,13.21517011,8.034310341,6932.367547,0.70208471,69.117,12.70955587,8.727129936,8825.599737,0.602,14.32867907,14.36699858,13.1303072,15.25479,14.60094,71,0.296,43,34.6,69.637,79.437,17,0.662,5.832147937,2.612563309,8.52
VUT,Vanuatu,Medium,EAP,140,0.607,70.449,11.53531503,7.064846,3085.411633,,,,72.9446,11.37982422,,2353.697069,,68.3967,11.6999255,,3808.57617,,,,14.0302496,,19.68256999,,,72,64.063,59.721,78.006,,,,0.591056341,
WSM,Samoa,High,EAP,111,0.707,72.7675,12.41885948,11.4038,5307.953374,2,0.957,0.685493303,75.5034,12.97950554,11.7741,3222.69805,0.716499047,70.3119,11.90373993,11.02812,7312.135531,0.613,13.10658815,13.29561528,10.41972446,7.02996,21.87008,99,0.418,43,43.589,30.7,54.237,,,,1.238975072,
YEM,Yemen,Low,AS,183,0.455,63.7534,9.09871006,3.2,1314.270189,5,0.496,0.262569632,67.1339,7.651040077,2.88,176.0594482,0.529016004,60.6287,10.49584007,5.146,2428.224415,0.307,31.54348443,32.52747253,26.68957329,46.13765,21.80323,170,0.82,164,54.404,5.995,67.637,1,0.448,1.538461538,0.327509951,2.89
ZAF,South Africa,High,SSA,109,0.713,62.341,13.64371014,11.37316036,12948.37325,3,0.944,0.685864456,64.9992,13.9843998,9.657389641,9934.611438,0.726844169,59.4575,13.30751038,12.15235043,16129.33493,0.471,31.05112691,33.94109397,18.86325073,17.29413,56.996,97,0.405,119,61.206,46.212,59.883,6,0.648,9.116409537,7.620419537,7.55
ZMB,Zambia,Medium,SSA,154,0.565,61.2234,10.92876021,7.187091494,3217.767739,2,0.965,0.554427499,63.9276,10.91116947,7.179212102,2614.505084,0.574296636,58.4872,10.95687445,7.225677844,3837.046888,0.39,30.10964459,30.97345133,25.05299377,20.43572,44.84022,138,0.54,213,117.017,69.23,77.847,7,0.557,1.415929204,0.3575346,2.38
ZWE,Zimbabwe,Medium,SSA,146,0.593,59.2531,12.11096904,8.710908501,3809.887158,2,0.961,0.580303186,62.0449,11.96458018,8.296557948,3285.933585,0.604054039,56.2321,12.27069982,9.19064792,4396.77768,0.458,22.47084979,22.76559865,24.03850937,14.60503,28.76901,134,0.532,458,94.312,79.308,88.933,10,0.587,1.011804384,0.708561788,1.21
